job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Marketing Manager,New York NY,Marketing,,We are a leading digital marketing firm.,Manage campaigns and brand strategy.,5+ years marketing experience.,Health dental vision,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Marketing and Advertising,Marketing,0
2,Software Engineer,San Francisco CA,Engineering,80000-120000,Innovative tech startup building cloud solutions.,Develop and maintain web applications.,3+ years React/Node.js.,Stock options 401k health,0,1,1,Full-time,Associate,Bachelor's Degree,Information Technology and Services,Engineering,0
3,Data Analyst,Chicago IL,Analytics,,Global consulting firm with Fortune 500 clients.,Analyze datasets to drive business decisions.,SQL Python Excel proficiency.,PTO flexible hours,0,1,1,Full-time,Entry level,Bachelor's Degree,Management Consulting,Analyst,0
4,Sales Representative,Dallas TX,Sales,40000-60000,Fast-growing SaaS company.,Prospect and close new business deals.,2+ years B2B sales experience.,Commission health dental,1,1,0,Full-time,Entry level,High School or equivalent,Computer Software,Sales,0
5,Product Manager,Seattle WA,Product,,Major e-commerce company.,Define product roadmap and features.,5+ years PM experience.,Full benefits stock,0,1,1,Full-time,Director,Master's Degree,Internet,Product Management,0
6,HR Coordinator,Austin TX,Human Resources,,Regional healthcare network.,Coordinate recruiting and onboarding.,HR certification preferred.,Health 401k PTO,0,1,1,Full-time,Associate,Bachelor's Degree,Hospital and Health Care,Human Resources,0
7,UX Designer,Boston MA,Design,70000-100000,Design agency serving global brands.,Create user-centered digital experiences.,Portfolio required Figma Sketch.,Health dental creative stipend,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Design,Design,0
8,Financial Analyst,New York NY,Finance,,Investment bank with global presence.,Model financial data for M&A deals.,CFA preferred Excel advanced.,Bonus health 401k,0,1,1,Full-time,Associate,Master's Degree,Financial Services,Finance,0
9,Customer Support Specialist,Remote,,30000-45000,,Answer customer inquiries via chat and email.,Strong communication skills.,,,0,0,Full-time,Entry level,High School or equivalent,,Customer Service,1
10,DevOps Engineer,San Jose CA,Engineering,90000-130000,Cloud infrastructure company.,Manage CI/CD pipelines and infrastructure.,Kubernetes Docker AWS experience.,Stock 401k health,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Information Technology and Services,Engineering,0
11,Content Writer,Los Angeles CA,Marketing,,Digital media company.,Write blog posts and marketing copy.,SEO knowledge strong writing.,Remote flexible PTO,1,1,1,Full-time,Entry level,Bachelor's Degree,Online Media,Writing and Editing,0
12,Account Executive,Miami FL,Sales,50000-80000,Growing fintech startup.,Drive revenue through enterprise accounts.,3+ years enterprise sales.,Commission equity health,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
13,Data Scientist,New York NY,Data Science,100000-150000,AI research company.,Build ML models for product features.,PhD or MS in CS Statistics.,Top benefits equity,0,1,1,Full-time,Mid-Senior level,Doctorate,Artificial Intelligence,Data Science,0
14,Operations Manager,Houston TX,Operations,,Logistics and supply chain company.,Oversee daily warehouse operations.,5+ years operations leadership.,Health dental 401k,0,1,1,Full-time,Director,Bachelor's Degree,Logistics and Supply Chain,Management,0
